Person ID,Deposition ID,Surname,Forename,Age,Person Type,Gender,Nationality,Religion,Occupation
290,815268r342,"Doyne","Mrs",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
291,815268r342,"Doyne","Brigitt",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
292,815268r342,"Doyne","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
293,815268r342,"Donelane","Justice",0,"Victim","Male","Unknown","Unknown","Unknown"
294,818235r206,"Penrust","William",50,"Deponent","Male","Unknown","Unknown","Yeoman"
295,818235r206,"fferrall","Joseph",0,"Unknown","Male","Unknown","Unknown","Gentleman"
296,818235r206,"Buttler","Peirce",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
297,818235r206,"fferrall","Danyell",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
298,818235r206,"Lacy","walter",0,"Victim","Male","Unknown","Unknown","Unknown"
299,818235r206,"Todd","Capt",0,"Victim","Unknown","Unknown","Unknown","Unknown"
300,818235r206,"wallopp","Henry",0,"Victim","Male","Unknown","Unknown","Knight"
